KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Gravity (EU),P. Esc Vel (EU),P. Period (days),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
2163.01,10.6648519,1.79,0.095,823,2.46,0.01,0.93,0.61,0.29,0.43,0.44,2.2,11.5,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.67,10.66,0.805,1.96,-2.23,0.37,-0.63,0.3,0.68,0.02,0.27,0,0,0,0,tran,2012
2164.01,5.1233377,1.18,0.054,858,0.95,0,-18.69,-0.34,0.47,0.08,0.89,0.7,11.5,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.25,1.29,5.12,0.565,1.402,-2.22,-0.13,-0.91,0.29,0.86,0.01,0.29,0,0,0,0,tran,2012
2166.01,61.6192908,3.44,0.303,402,0.13,0.65,0.38,-0.23,0.15,-0.26,0.41,1.1,11.5,,,,,,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.93,1.72,61.62,0.551,1.37,-1.63,2.03,-0.07,0.28,0.48,0.28,0.37,0,0,0,0,tran,2012
2167.01,24.3396163,3.57,0.161,657,2.9,1.44,-0.3,0.09,0.17,-0.25,0.13,1.9,11.5,,,,,,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.88,1.86,24.34,0.865,2.103,-2.12,2.7,-0.34,0.22,0.41,0.04,0.2,0,0,0,0,tran,2012
2168.01,3.2818945,1.29,0.044,1215,2.59,0.82,-0.24,0.35,0.52,-0.64,1.2,0.7,11.5,,,,,,,,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,1.27,1.32,3.28,0.855,2.064,-2.34,-0.1,-1.02,0.28,0.84,0,0.29,0,0,0,0,tran,2012
2168.02,12.5162545,1.6,0.107,779,1.6,0.75,-1.65,0.3,0.61,-0.06,1.24,0.5,9.8,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.4,1.54,12.52,0.855,2.064,-2.23,0.15,-0.7,0.3,0.74,0.02,0.28,0,0,0,0,tran,2012
2169.01,5.4529995,1.02,0.058,957,2.1,0.12,-3.16,0.54,0.37,0.09,0.79,1.4,11.4,,,,,,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.97,0.97,5.45,0.629,1.567,-2.22,-0.33,-1.13,0.28,0.98,0.01,0.3,0,0,0,0,tran,2012
2169.02,3.2666056,0.78,0.041,1139,2.47,0.52,-0.76,-0.72,0.54,0.62,1.22,1.1,-99,,,,,,,,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.75,0.75,3.27,0.629,1.567,-2.25,-0.4,-1.3,0.28,0.86,0,0.29,0,0,0,0,tran,2012
2169.03,4.2723541,0.74,0.049,1042,1.05,0.61,2.27,-1.32,1.42,0.07,0.22,0.9,9.3,,,,,,,,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.7,0.71,4.27,0.629,1.567,-2.24,-0.4,-1.31,0.28,0.83,0.01,0.29,0,0,0,0,tran,2012
2169.04,2.192589,0.5,0.032,1289,1.19,-99,-0.82,0.33,0.6,-3.13,1.78,1.8,-99,,,,,,,,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.44,0.46,2.19,0.629,1.567,-2.27,-0.41,-1.48,0.27,0.65,0,0.25,0,0,0,0,tran,2012
