P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
KOI-1889.01,,1889.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.90,0.39,1.13,1.81,        53.91985,        53.91986,        53.91987,690.4,690.4,690.4,744.3,744.3,744.3,3.7,-23.85,5.51,14.31,0.11,0.00,0.11,86.5,,KOI-1889,,,Dra,G,0.96,0.85,5734.0,0.700743,,0.600,15.3,958.87,19.0849,48.6187,-31.1,3.9743,2,0,0.629,1.548,-2.12,1.51,-0.40,0.28,0.00,0.51,0.04,0.24,0,0,0,0,tran,2012
KOI-1889.02,,1889.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,5.16,,1.90,0.75,1.43,1.65,        96.98856,        96.98858,        96.98859,799.5,799.5,799.5,853.7,853.7,853.7,3.9,-23.56,3.61,9.18,0.09,0.00,0.09,85.4,,KOI-1889,,,Dra,G,0.96,0.85,5734.0,0.700743,,0.600,15.3,958.87,19.0849,48.6187,-31.7,5.3311,2,0,0.629,1.548,-2.18,0.32,-0.60,0.30,0.00,0.69,0.02,0.27,0,0,0,0,tran,2012
KOI-1890.01,,1890.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,3.00,,1.50,0.89,1.33,1.41,        690.0770,        690.0771,        690.0773,1305.8,1305.8,1305.8,1358.3,1358.3,1358.3,2.7,-25.19,2.85,4.34,0.06,0.00,0.06,80.8,,KOI-1890,,,Cyg,F,1.16,1.32,6045.0,2.087483,,3.900,11.7,312.94,19.5386,43.0737,-33.9,12.8167,1,0,1.073,2.604,-2.33,-0.01,-0.97,0.28,0.00,0.80,0.00,0.28,0,0,0,0,tran,2012
KOI-1891.01,,1891.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,4.88,,1.85,0.77,1.42,1.62,        21.73136,        21.73136,        21.73137,550.1,550.1,550.1,604.1,604.1,604.1,3.8,-21.87,3.52,15.96,0.12,0.00,0.12,90.0,,KOI-1891,,,Cyg,G,0.78,0.69,5093.0,0.287397,,0.700,15.3,592.78,19.2298,44.8017,-30.1,3.1979,2,0,0.413,1.048,-1.94,0.28,-0.39,0.33,0.00,0.70,0.09,0.32,0,0,0,0,tran,2012
KOI-1891.02,,1891.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,1.91,,1.26,0.96,1.21,1.23,        52.48306,        52.48307,        52.48308,685.7,685.7,685.7,736.7,736.7,736.7,1.8,-22.00,2.39,8.26,0.07,0.00,0.07,88.2,,KOI-1891,,,Cyg,G,0.78,0.69,5093.0,0.287397,,0.700,15.3,592.78,19.2298,44.8017,-31.1,4.9706,2,0,0.413,1.048,-2.07,-0.18,-0.82,0.31,0.00,0.88,0.04,0.31,0,0,0,0,tran,2012
KOI-1892.01,,1892.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,3.00,0.35,1.06,1.78,        6.974692,        6.974692,        6.974693,414.0,414.0,414.0,467.5,467.5,467.5,3.3,-21.69,5.70,62.56,0.30,0.00,0.30,90.0,,KOI-1892,,,Cyg,G,0.93,0.83,5664.0,0.636120,,0.500,15.5,984.00,19.6544,45.3061,-28.8,1.4647,1,0,0.601,1.484,-1.68,1.68,-0.04,0.30,0.00,0.50,0.25,0.36,0,0,0,0,tran,2012
KOI-1893.01,,1893.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,3.00,,1.50,0.89,1.33,1.41,        545.0646,        545.0646,        545.0648,1231.0,1231.0,1231.0,1283.5,1283.5,1283.5,2.7,-24.93,2.85,3.55,0.05,0.00,0.05,88.2,,KOI-1893,,,Cyg,F,1.08,0.98,6114.0,1.204048,,0.300,14.1,697.48,19.4680,44.8762,-33.6,11.1294,1,0,0.812,1.967,-2.33,-0.01,-0.95,0.28,0.00,0.80,0.00,0.28,0,0,0,0,tran,2012
KOI-1894.01,,1894.01,Hot,Jovian,gas,metals-rich,non-habitable,,188.14,,17.10,0.04,0.64,3.32,        7648.537,        7648.538,        7648.540,2382.5,2382.5,2382.5,,,,7.1,-33.12,32.95,5.29,0.08,0.00,0.08,81.4,,KOI-1894,,,Cyg,K,2.19,9.00,4998.0,45.348181,,0.840,13.4,3212.83,19.8240,49.7976,-36.5,65.8544,1,0,5.212,13.272,-2.27,13.56,-0.42,0.07,,0.11,0.00,0.05,0,0,0,0,tran,2012
KOI-1895.01,,1895.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,6.36,,2.10,0.69,1.44,1.74,        25.08164,        25.08165,        25.08165,570.1,570.1,570.1,624.8,624.8,624.8,4.4,-22.31,3.99,8.46,0.07,0.00,0.07,90.0,,KOI-1895,,,Cyg,K,0.66,0.58,4496.0,0.122900,,1.200,15.9,510.57,19.4556,39.3074,-30.2,4.4091,3,0,0.276,0.720,-1.93,0.50,-0.32,0.33,0.00,0.65,0.08,0.30,0,0,0,0,tran,2012
KOI-1895.02,,1895.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,7.65,,2.31,0.62,1.43,1.82,        9.456760,        9.456761,        9.456763,446.8,446.8,446.8,501.8,501.8,501.8,4.8,-21.45,4.39,17.28,0.11,0.00,0.11,89.4,,KOI-1895,,,Cyg,K,0.66,0.58,4496.0,0.122900,,1.200,15.9,510.57,19.4556,39.3074,-29.2,2.7069,3,0,0.276,0.720,-1.73,0.70,-0.06,0.35,0.00,0.60,0.19,0.36,0,0,0,0,tran,2012
KOI-1895.03,,1895.03,Hot,Superterran,rocky-water,metals-rich,non-habitable,,6.91,,2.19,0.66,1.44,1.78,        4.154274,        4.154275,        4.154276,363.7,363.7,363.7,418.5,418.5,418.5,4.5,-20.44,4.16,32.13,0.17,0.00,0.17,89.4,,KOI-1895,,,Cyg,K,0.66,0.58,4496.0,0.122900,,1.200,15.9,510.57,19.4556,39.3074,-28.3,1.7940,3,0,0.276,0.720,-1.47,0.59,0.07,0.39,0.00,0.63,0.39,0.49,0,0,0,0,tran,2012
KOI-1897.01,,1897.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.70,0.48,1.30,1.88,        16.60460,        16.60461,        16.60461,514.3,514.3,514.3,569.1,569.1,569.1,4.6,-22.41,5.13,59.77,0.31,0.00,0.31,90.0,,KOI-1897,,,Lyr,F,1.06,1.09,6190.0,1.564968,,2.500,14.0,759.21,19.2383,40.9887,-29.8,1.8922,1,0,0.923,2.228,-1.94,1.16,-0.13,0.31,0.00,0.54,0.11,0.29,0,0,0,0,tran,2012
