P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
KOI-2193.01,,2193.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,4.09,,1.71,0.82,1.40,1.55,        144.2446,        144.2446,        144.2446,882.9,882.9,882.9,936.4,936.4,936.4,3.3,-23.77,3.25,2.36,0.03,0.00,0.03,82.5,,KOI-2193,,,Lyr,K,0.62,0.60,4485.0,0.129820,,13.900,15.7,477.91,18.9405,44.2458,-32.2,10.6381,1,0,0.284,0.741,-2.11,0.16,-0.72,0.31,0.00,0.74,0.01,0.28,0,0,0,0,tran,2012
KOI-2194.01,,2194.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,4.82,,1.84,0.77,1.42,1.62,        23.93040,        23.93040,        23.93041,563.5,563.5,563.5,617.5,617.5,617.5,3.7,-21.97,3.50,34.76,0.21,0.00,0.21,88.8,,KOI-2194,,,Cyg,F,1.07,0.95,6037.0,1.075528,,0.300,13.9,604.78,19.4884,38.6576,-30.2,2.3882,1,0,0.770,1.870,-2.01,0.27,-0.41,0.33,0.00,0.70,0.08,0.32,0,0,0,0,tran,2012
KOI-2195.01,,2195.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,8.86,,2.50,0.57,1.42,1.88,        114.7956,        114.7956,        114.7956,833.9,833.9,833.9,889.2,889.2,889.2,5.0,-24.35,4.75,20.05,0.15,0.00,0.15,87.7,,KOI-2195,,,Cyg,F,1.21,1.30,6502.0,2.722492,,2.349,14.9,1532.86,19.4171,49.2589,-31.9,4.5102,1,0,1.204,2.871,-2.26,0.88,-0.47,0.29,0.00,0.57,0.02,0.24,0,0,0,0,tran,2012
KOI-2200.01,,2200.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,4.09,,1.71,0.82,1.40,1.55,        546.7284,        546.7284,        546.7285,1231.9,1231.9,1231.9,1285.5,1285.5,1285.5,3.3,-25.22,3.25,3.17,0.04,0.00,0.04,90.0,,KOI-2200,,,Dra,G,0.93,0.96,5774.0,0.919051,,6.300,15.4,1105.70,19.0599,48.3073,-33.6,12.5028,1,0,0.719,1.767,-2.30,0.16,-0.88,0.29,0.00,0.74,0.00,0.27,0,0,0,0,tran,2012
KOI-2201.01,,2201.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.90,0.39,1.13,1.81,        7.742805,        7.742806,        7.742807,425.0,425.0,425.0,478.9,478.9,478.9,3.7,-21.73,5.51,116.53,0.47,0.00,0.47,90.0,,KOI-2201,,,Lyr,F,1.03,1.19,6083.0,1.739623,,5.300,13.8,748.64,19.0913,37.5525,-29.0,1.3379,1,0,0.978,2.370,-1.72,1.51,-0.03,0.30,0.00,0.51,0.23,0.35,0,0,0,0,tran,2012
KOI-2202.01,,2202.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.12,,1.04,1.00,1.04,1.04,        1422.083,        1422.083,        1422.084,1564.5,1564.5,1564.5,1613.3,1613.3,1613.3,1.1,-25.18,1.98,0.81,0.02,0.00,0.02,76.8,,KOI-2202,,,Lyr,G,0.83,0.73,5253.0,0.364053,,0.700,14.1,394.22,19.1964,39.2306,-34.7,24.5005,1,0,0.462,1.163,-2.27,-0.30,-1.22,0.28,0.00,0.98,0.00,0.29,0,0,0,0,tran,2012
KOI-2204.01,,2204.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,3.08,0.33,1.00,1.76,        382.4229,        382.4230,        382.4231,1126.6,1126.6,1126.6,1179.8,1179.8,1179.8,3.1,-26.12,5.86,10.86,0.10,0.00,0.10,79.1,,KOI-2204,,,Cyg,F,1.29,1.62,6474.0,4.136287,,2.950,14.0,1237.11,19.4366,44.5273,-33.2,8.3085,1,0,1.485,3.546,-2.34,1.82,-0.72,0.25,0.00,0.49,0.01,0.21,0,0,0,0,tran,2012
KOI-2205.01,,2205.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,3.00,0.35,1.06,1.78,        15.48901,        15.48901,        15.48901,505.4,505.4,505.4,558.9,558.9,558.9,3.3,-22.56,5.70,24.09,0.16,0.00,0.16,89.4,,KOI-2205,,,Lyr,K,0.87,0.89,4799.0,0.376941,,,15.5,745.07,18.7796,46.9464,-29.7,3.0407,1,0,0.479,1.231,-1.86,1.68,-0.20,0.28,0.00,0.50,0.12,0.29,0,0,0,0,tran,2012
KOI-2206.01,,2206.01,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,,2.95,,1.49,0.89,1.33,1.41,        926.2288,        926.2288,        926.2289,1405.5,1405.5,1405.5,1458.0,1458.0,1458.0,2.6,-25.50,2.83,1.83,0.03,0.00,0.03,87.1,,KOI-2206,,,Dra,G,1.05,1.00,5521.0,0.833606,,,15.2,980.84,19.0645,48.6790,-34.2,17.8358,1,0,0.692,1.720,-2.29,-0.02,-1.00,0.29,0.00,0.80,0.00,0.28,0,0,0,0,tran,2012
KOI-2208.01,,2208.01,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,,0.38,,0.73,0.99,0.72,0.73,        714.5772,        714.5773,        714.5775,1317.2,1317.2,1317.2,1361.4,1361.4,1361.4,0.4,-23.66,1.39,2.34,0.03,0.00,0.03,85.9,,KOI-2208,,,Cyg,G,0.90,0.91,5692.0,0.778175,,,12.6,286.65,19.3696,47.7259,-33.9,14.7199,1,0,0.664,1.637,-2.30,-0.40,-1.34,0.27,0.00,0.84,0.00,0.29,0,0,0,0,tran,2012
KOI-2209.01,,2209.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.53,,1.16,0.98,1.14,1.15,        40.22858,        40.22859,        40.22860,641.6,641.6,641.6,691.7,691.7,691.7,1.5,-21.53,2.20,18.30,0.13,0.00,0.13,88.8,,KOI-2209,,,Cyg,G,0.96,0.86,5744.0,0.722345,,0.800,14.3,607.77,19.5143,44.0823,-30.8,3.4207,1,0,0.639,1.571,-2.08,-0.23,-0.85,0.31,0.00,0.93,0.05,0.33,0,0,0,0,tran,2012
KOI-2210.01,,2210.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,2.66,,1.43,0.91,1.30,1.36,        209.7697,        209.7697,        209.7697,969.6,969.6,969.6,1021.7,1021.7,1021.7,2.4,-23.79,2.72,2.89,0.04,0.00,0.04,88.2,,KOI-2210,,,Lyr,K,0.72,0.71,4948.0,0.271862,,13.900,15.2,559.36,19.1535,39.2897,-32.6,10.5399,1,0,0.404,1.032,-2.17,-0.06,-0.88,0.30,0.00,0.82,0.01,0.29,0,0,0,0,tran,2012
KOI-2212.01,,2212.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,4.70,,1.82,0.78,1.42,1.61,        45.32827,        45.32827,        45.32829,661.1,661.1,661.1,715.0,715.0,715.0,3.7,-22.64,3.46,17.15,0.13,0.00,0.13,89.4,,KOI-2212,,,Cyg,G,1.05,0.91,5710.0,0.789800,,,14.9,848.63,19.3362,47.2580,-30.9,3.6745,1,0,0.669,1.647,-2.10,0.25,-0.52,0.31,0.00,0.71,0.04,0.29,0,0,0,0,tran,2012
KOI-2213.01,,2213.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,3.51,,1.60,0.86,1.37,1.48,        206.3729,        206.3729,        206.3729,965.6,965.6,965.6,1018.7,1018.7,1018.7,3.0,-24.01,3.04,3.97,0.04,0.00,0.04,84.2,,KOI-2213,,,Cyg,G,0.77,0.80,5194.0,0.417905,,14.000,15.4,777.00,19.6872,43.0444,-32.5,9.4849,1,0,0.497,1.253,-2.19,0.07,-0.81,0.30,0.00,0.77,0.01,0.28,0,0,0,0,tran,2012
KOI-2214.01,,2214.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.42,,1.13,0.98,1.11,1.12,        207.1819,        207.1819,        207.1820,966.6,966.6,966.6,1016.3,1016.3,1016.3,1.4,-23.26,2.15,2.35,0.03,0.00,0.03,85.9,,KOI-2214,,,Lyr,K,0.68,0.65,4724.0,0.186464,,11.700,15.8,624.87,19.1144,47.4256,-32.5,11.4947,1,0,0.338,0.871,-2.15,-0.25,-1.03,0.29,0.00,0.94,0.01,0.30,0,0,0,0,tran,2012
KOI-2215.01,,2215.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.53,,0.81,1.00,0.81,0.81,        33.96355,        33.96355,        33.96356,615.0,615.0,615.0,660.7,660.7,660.7,0.5,-20.56,1.54,22.04,0.15,0.00,0.15,87.1,,KOI-2215,,,Cyg,G,0.89,0.90,5647.0,0.743938,,,13.0,338.21,19.7503,42.5302,-30.6,3.2519,1,0,0.651,1.607,-2.05,-0.38,-1.10,0.30,0.00,0.90,0.06,0.33,0,0,0,0,tran,2012
KOI-2216.01,,2216.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,8.22,,2.40,0.59,1.43,1.85,        34.79224,        34.79224,        34.79224,618.8,618.8,618.8,673.9,673.9,673.9,4.9,-22.96,4.56,23.34,0.15,0.00,0.15,90.0,,KOI-2216,,,Lyr,G,0.86,0.97,5555.0,0.803840,,12.100,15.2,977.40,19.1528,39.3832,-30.6,3.4013,1,0,0.679,1.684,-2.05,0.79,-0.29,0.31,0.00,0.59,0.06,0.27,0,0,0,0,tran,2012
KOI-2217.01,,2217.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,5.16,,1.90,0.75,1.43,1.65,        8.485399,        8.485401,        8.485402,434.8,434.8,434.8,489.0,489.0,489.0,3.9,-20.91,3.61,37.80,0.21,0.00,0.21,90.0,,KOI-2217,,,Cyg,G,0.83,0.73,5264.0,0.367112,,0.600,15.2,648.82,19.2428,46.2157,-29.1,1.8704,1,0,0.464,1.167,-1.73,0.32,-0.20,0.36,0.00,0.69,0.21,0.40,0,0,0,0,tran,2012
KOI-2218.01,,2218.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,2.85,,1.47,0.90,1.32,1.39,        206.9564,        206.9564,        206.9564,966.3,966.3,966.3,1018.7,1018.7,1018.7,2.6,-23.83,2.79,5.54,0.06,0.00,0.06,87.1,,KOI-2218,,,Cyg,G,0.98,0.87,5803.0,0.770085,,0.500,14.5,689.03,19.2925,50.5971,-32.5,7.6062,2,0,0.658,1.614,-2.25,-0.03,-0.86,0.29,0.00,0.81,0.01,0.29,0,0,0,0,tran,2012
KOI-2218.02,,2218.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,2.66,,1.43,0.91,1.30,1.36,        47.74535,        47.74535,        47.74536,669.7,669.7,669.7,721.8,721.8,721.8,2.4,-22.17,2.72,16.73,0.13,0.00,0.13,88.2,,KOI-2218,,,Cyg,G,0.98,0.87,5803.0,0.770085,,0.500,14.5,689.03,19.2925,50.5971,-30.9,3.6513,2,0,0.658,1.614,-2.11,-0.06,-0.71,0.31,0.00,0.82,0.04,0.31,0,0,0,0,tran,2012
KOI-2219.01,,2219.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.25,,1.08,0.99,1.07,1.08,        141.2488,        141.2489,        141.2489,878.3,878.3,878.3,927.6,927.6,927.6,1.2,-22.74,2.05,3.76,0.04,0.00,0.04,89.4,,KOI-2219,,,Lyr,K,0.74,0.69,4969.0,0.261169,,7.000,14.1,331.76,19.3510,40.5486,-32.1,8.5718,1,0,0.396,1.010,-2.15,-0.28,-1.03,0.29,0.00,0.96,0.01,0.30,0,0,0,0,tran,2012
KOI-2220.01,,2220.01,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,,2.12,,1.31,0.94,1.24,1.27,        573.4439,        573.4440,        573.4441,1246.7,1246.7,1246.7,1298.0,1298.0,1298.0,2.0,-24.69,2.49,3.28,0.04,0.00,0.04,80.2,,KOI-2220,,,Cyg,F,1.04,0.97,6022.0,1.110188,,1.500,14.7,895.17,19.6092,42.3705,-33.7,11.7691,3,0,0.783,1.902,-2.32,-0.14,-1.03,0.28,0.00,0.87,0.00,0.29,0,0,0,0,tran,2012
KOI-2220.02,,2220.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,2.90,,1.48,0.89,1.32,1.40,        330.0200,        330.0201,        330.0202,1085.9,1085.9,1085.9,1138.3,1138.3,1138.3,2.6,-24.36,2.81,5.03,0.06,0.00,0.06,81.9,,KOI-2220,,,Cyg,F,1.04,0.97,6022.0,1.110188,,1.500,14.7,895.17,19.6092,42.3705,-33.1,8.9216,3,0,0.783,1.902,-2.30,-0.02,-0.91,0.29,0.00,0.81,0.01,0.28,0,0,0,0,tran,2012
KOI-2220.03,,2220.03,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.87,,1.25,0.96,1.20,1.22,        1233.542,        1233.542,        1233.542,1509.8,1509.8,1509.8,1560.7,1560.7,1560.7,1.8,-25.43,2.38,1.90,0.03,0.00,0.03,74.5,,KOI-2220,,,Cyg,F,1.04,0.97,6022.0,1.110188,,1.500,14.7,895.17,19.6092,42.3705,-34.5,17.2966,3,0,0.783,1.902,-2.35,-0.18,-1.12,0.28,0.00,0.89,0.00,0.29,0,0,0,0,tran,2012
KOI-2221.01,,2221.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,6.72,,2.16,0.67,1.44,1.76,        136.5059,        136.5059,        136.5060,870.8,870.8,870.8,925.6,925.6,925.6,4.5,-24.22,4.11,10.63,0.10,0.00,0.10,84.8,,KOI-2221,,,Cyg,F,1.05,1.02,6059.0,1.258039,,2.800,15.4,1322.42,19.5032,41.6430,-32.1,5.6645,1,0,0.832,2.019,-2.24,0.56,-0.57,0.30,0.00,0.63,0.01,0.26,0,0,0,0,tran,2012
KOI-2222.01,,2222.01,Hot,Neptunian,gas,metals-rich,non-habitable,,16.18,,4.33,0.20,0.86,1.93,        124.7446,        124.7446,        124.7446,851.4,851.4,851.4,,,,3.2,-25.64,8.24,34.13,0.25,0.00,0.25,87.7,,KOI-2222,,,Cyg,A,1.77,1.59,7644.0,7.734290,,,13.0,1072.66,19.6832,45.7574,-32.0,3.4013,1,0,1.986,4.640,-2.31,3.09,-0.45,0.20,,0.38,0.02,0.18,0,0,0,0,tran,2012
KOI-2223.01,,2223.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,3.20,,1.54,0.88,1.35,1.44,        814.7980,        814.7980,        814.7981,1361.2,1361.2,1361.2,1413.9,1413.9,1413.9,2.8,-25.43,2.93,1.10,0.02,0.00,0.02,85.4,,KOI-2223,,,Cyg,K,0.73,0.73,4994.0,0.294142,,13.900,15.3,604.11,19.3969,45.7195,-34.0,20.4717,1,0,0.420,1.069,-2.23,0.02,-0.97,0.29,0.00,0.79,0.00,0.28,0,0,0,0,tran,2012
KOI-2224.01,,2224.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,2.48,,1.39,0.92,1.28,1.33,        358.3966,        358.3966,        358.3967,1108.5,1108.5,1108.5,1160.4,1160.4,1160.4,2.3,-24.31,2.64,3.73,0.05,0.00,0.05,77.9,,KOI-2224,,,Cyg,G,0.98,0.88,5810.0,0.791698,,0.400,15.0,859.44,19.6126,45.1516,-33.1,9.9907,2,0,0.667,1.635,-2.28,-0.09,-0.95,0.29,0.00,0.84,0.01,0.29,0,0,0,0,tran,2012
KOI-2224.02,,2224.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,5.99,,2.04,0.71,1.44,1.71,        5.511644,        5.511645,        5.511646,390.4,390.4,390.4,444.9,444.9,444.9,4.2,-20.59,3.88,86.12,0.38,0.00,0.38,88.8,,KOI-2224,,,Cyg,G,0.98,0.88,5810.0,0.791698,,0.400,15.0,859.44,19.6126,45.1516,-28.6,1.2374,2,0,0.667,1.635,-1.59,0.45,-0.05,0.38,0.00,0.66,0.31,0.45,0,0,0,0,tran,2012
KOI-2225.01,,2225.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.39,,1.12,0.99,1.10,1.11,        160.3353,        160.3353,        160.3353,906.6,906.6,906.6,956.3,956.3,956.3,1.4,-22.96,2.13,2.79,0.03,0.00,0.03,79.1,,KOI-2225,,,Cyg,K,0.67,0.65,4706.0,0.185348,,13.900,14.4,326.02,19.7816,49.5327,-32.3,10.1858,1,0,0.337,0.870,-2.14,-0.26,-1.02,0.30,0.00,0.94,0.01,0.30,0,0,0,0,tran,2012
KOI-2226.01,,2226.01,Hot,Neptunian,rocky-water,metals-rich,non-habitable,,9.50,,2.60,0.54,1.41,1.91,        88.08426,        88.08427,        88.08429,780.5,780.5,780.5,835.8,835.8,835.8,5.1,-24.14,4.94,8.46,0.08,0.00,0.08,88.8,,KOI-2226,,,Cyg,G,0.98,0.93,5224.0,0.577921,,,15.3,870.80,19.8350,49.4015,-31.6,6.1216,1,0,0.583,1.469,-2.13,0.98,-0.41,0.30,0.00,0.56,0.02,0.24,0,0,0,0,tran,2012
KOI-2227.01,,2227.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,7.53,,2.29,0.63,1.44,1.81,        10.77254,        10.77254,        10.77255,461.6,461.6,461.6,516.5,516.5,516.5,4.7,-21.57,4.35,65.65,0.31,0.00,0.31,90.0,,KOI-2227,,,Cyg,G,0.94,1.01,5818.0,1.048643,,7.000,14.9,947.42,19.4832,47.8784,-29.3,1.7252,1,0,0.767,1.881,-1.82,0.68,-0.10,0.34,0.00,0.61,0.17,0.35,0,0,0,0,tran,2012
KOI-2228.01,,2228.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,6.36,,2.10,0.69,1.44,1.74,        13.77811,        13.77811,        13.77811,490.8,490.8,490.8,545.5,545.5,545.5,4.4,-21.65,3.99,102.66,0.48,0.00,0.48,90.0,,KOI-2228,,,Cyg,F,1.37,1.35,6622.0,3.134919,,,12.7,599.29,19.5612,48.1988,-29.6,1.5061,1,0,1.286,3.055,-1.92,0.50,-0.21,0.33,0.00,0.65,0.14,0.34,0,0,0,0,tran,2012
KOI-2229.01,,2229.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.90,0.39,1.13,1.81,        65.03174,        65.03175,        65.03177,723.5,723.5,723.5,777.4,777.4,777.4,3.7,-24.05,5.51,14.83,0.12,0.00,0.12,90.0,,KOI-2229,,,Cyg,G,0.93,0.94,5764.0,0.875067,,5.700,15.7,1268.97,19.5989,39.5729,-31.3,4.3195,1,0,0.702,1.726,-2.15,1.51,-0.43,0.27,0.00,0.51,0.03,0.23,0,0,0,0,tran,2012
KOI-2232.01,,2232.01,Hot,Neptunian,gas,metals-rich,non-habitable,,11.07,,3.50,0.26,0.90,1.78,        4.669958,        4.669958,        4.669958,374.5,374.5,374.5,,,,2.9,-21.59,6.66,101.13,0.41,0.00,0.41,90.0,,KOI-2232,,,Cyg,G,0.93,0.91,5736.0,0.804284,,4.500,15.3,1023.98,19.4542,38.0882,-28.4,1.1686,1,0,0.674,1.658,-1.53,2.33,0.05,0.26,,0.44,0.35,0.40,0,0,0,0,tran,2012
KOI-2233.01,,2233.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,3.66,,1.63,0.85,1.38,1.50,        1220.236,        1220.236,        1220.236,1505.8,1505.8,1505.8,1558.9,1558.9,1558.9,3.1,-25.99,3.10,1.81,0.03,0.00,0.03,61.9,,KOI-2233,,,Cyg,G,0.89,1.01,5686.0,0.956665,,10.200,14.7,826.41,19.6984,45.2400,-34.5,19.3144,1,0,0.737,1.817,-2.31,0.09,-0.98,0.28,0.00,0.76,0.00,0.27,0,0,0,0,tran,2012
KOI-2236.01,,2236.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,7.59,,2.30,0.62,1.44,1.82,        39.14398,        39.14398,        39.14399,637.3,637.3,637.3,692.3,692.3,692.3,4.7,-22.99,4.37,19.99,0.14,0.00,0.14,89.4,,KOI-2236,,,Cyg,G,0.98,0.88,5826.0,0.800455,,0.400,15.7,1209.22,19.2412,48.0984,-30.7,3.2799,2,0,0.670,1.642,-2.08,0.69,-0.34,0.31,0.00,0.61,0.05,0.27,0,0,0,0,tran,2012
KOI-2236.02,,2236.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,4.59,,1.80,0.79,1.42,1.60,        75.45057,        75.45058,        75.45060,750.9,750.9,750.9,804.7,804.7,804.7,3.6,-23.17,3.42,12.13,0.10,0.00,0.10,88.8,,KOI-2236,,,Cyg,G,0.98,0.88,5826.0,0.800455,,0.400,15.7,1209.22,19.2412,48.0984,-31.4,4.5543,2,0,0.670,1.642,-2.17,0.23,-0.60,0.31,0.00,0.71,0.03,0.28,0,0,0,0,tran,2012
KOI-2237.01,,2237.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.90,0.39,1.13,1.81,        8.912797,        8.912797,        8.912798,440.2,440.2,440.2,494.1,494.1,494.1,3.7,-21.88,5.51,76.42,0.36,0.00,0.36,88.2,,KOI-2237,,,Lyr,F,1.06,0.97,6082.0,1.155099,,0.400,15.2,1137.25,19.3320,40.1428,-29.1,1.4360,1,0,0.797,1.931,-1.77,1.51,-0.06,0.30,0.00,0.51,0.20,0.34,0,0,0,0,tran,2012
KOI-2238.01,,2238.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.22,,1.07,0.99,1.06,1.07,        141.5457,        141.5457,        141.5458,878.8,878.8,878.8,927.9,927.9,927.9,1.2,-22.72,2.03,1.65,0.02,0.00,0.02,79.1,,KOI-2238,,,Cyg,K,0.56,0.53,4072.0,0.068508,,13.800,14.6,217.13,19.3623,44.1077,-32.1,12.7923,1,0,0.209,0.555,-2.08,-0.28,-1.03,0.30,0.00,0.97,0.01,0.30,0,0,0,0,tran,2012
KOI-2241.01,,2241.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.80,0.43,1.21,1.84,        216.8719,        216.8719,        216.8720,977.7,977.7,977.7,1032.1,1032.1,1032.1,4.1,-25.29,5.32,7.17,0.07,0.00,0.07,83.7,,KOI-2241,,,Cyg,F,1.06,0.98,6093.0,1.187591,,1.000,15.3,1227.86,19.8723,40.2832,-32.6,7.0620,1,0,0.808,1.956,-2.28,1.33,-0.59,0.27,0.00,0.53,0.01,0.22,0,0,0,0,tran,2012
KOI-2242.01,,2242.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,3.05,,1.51,0.89,1.34,1.42,        709.8230,        709.8231,        709.8231,1315.0,1315.0,1315.0,1367.6,1367.6,1367.6,2.7,-25.23,2.87,1.76,0.03,0.00,0.03,88.2,,KOI-2242,,,Cyg,G,0.91,0.81,5545.0,0.556501,,0.600,15.8,1035.89,19.2765,45.8662,-33.9,15.4634,1,0,0.565,1.402,-2.28,-0.00,-0.97,0.29,0.00,0.80,0.00,0.28,0,0,0,0,tran,2012
KOI-2243.01,,2243.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,3.45,,1.59,0.86,1.37,1.47,        351.2501,        351.2501,        351.2502,1102.9,1102.9,1102.9,1155.9,1155.9,1155.9,3.0,-24.58,3.02,5.19,0.06,0.00,0.06,87.1,,KOI-2243,,,Cyg,F,1.08,0.99,6158.0,1.264500,,0.300,14.8,1009.37,19.8318,39.8772,-33.1,8.8018,1,0,0.831,2.008,-2.31,0.06,-0.87,0.29,0.00,0.77,0.01,0.28,0,0,0,0,tran,2012
KOI-2245.01,,2245.01,Hot,Neptunian,rocky-water,metals-rich,non-habitable,,9.50,,2.60,0.54,1.41,1.91,        33.75529,        33.75529,        33.75529,614.1,614.1,614.1,669.4,669.4,669.4,5.1,-23.10,4.94,33.47,0.20,0.00,0.20,88.8,,KOI-2245,,,Lyr,G,0.98,1.12,5900.0,1.363748,,7.600,14.7,1017.00,19.2547,39.5228,-30.6,2.9698,1,0,0.872,2.130,-2.07,0.98,-0.24,0.30,0.00,0.56,0.06,0.26,0,0,0,0,tran,2012
KOI-2246.01,,2246.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,2.90,,1.48,0.89,1.32,1.40,        100.6964,        100.6964,        100.6964,807.0,807.0,807.0,859.5,859.5,859.5,2.6,-23.06,2.81,11.90,0.10,0.00,0.10,87.1,,KOI-2246,,,Cyg,F,1.04,0.95,6056.0,1.089132,,0.300,14.2,694.15,19.2616,46.0576,-31.8,4.8694,1,0,0.774,1.879,-2.21,-0.02,-0.78,0.30,0.00,0.81,0.02,0.29,0,0,0,0,tran,2012
KOI-2247.01,,2247.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.71,,0.89,1.00,0.89,0.89,        67.26469,        67.26469,        67.26471,729.6,729.6,729.6,776.5,776.5,776.5,0.7,-21.51,1.69,4.46,0.05,0.00,0.05,86.5,,KOI-2247,,,Lyr,K,0.64,0.61,4544.0,0.142332,,13.800,14.4,277.81,18.8747,43.5256,-31.3,7.0714,1,0,0.297,0.772,-2.06,-0.36,-1.09,0.30,0.00,0.94,0.03,0.31,0,0,0,0,tran,2012
KOI-2248.01,,2248.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,2.76,,1.45,0.90,1.31,1.38,        289.5641,        289.5641,        289.5642,1050.9,1050.9,1050.9,1103.2,1103.2,1103.2,2.5,-24.17,2.76,2.82,0.04,0.00,0.04,84.8,,KOI-2248,,,Cyg,G,0.84,0.75,5294.0,0.396413,,2.300,15.5,776.07,19.4827,48.5116,-32.9,10.8184,4,0,0.482,1.210,-2.22,-0.05,-0.91,0.29,0.00,0.82,0.01,0.29,0,0,0,0,tran,2012
KOI-2248.02,,2248.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,3.30,,1.56,0.87,1.36,1.45,        57.54293,        57.54293,        57.54293,701.7,701.7,701.7,754.5,754.5,754.5,2.9,-22.56,2.96,9.49,0.08,0.00,0.08,87.1,,KOI-2248,,,Cyg,G,0.84,0.75,5294.0,0.396413,,2.300,15.5,776.07,19.4827,48.5116,-31.2,4.8169,4,0,0.482,1.210,-2.10,0.04,-0.67,0.31,0.00,0.78,0.03,0.30,0,0,0,0,tran,2012
KOI-2248.03,,2248.03,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.15,,1.05,1.00,1.05,1.05,        1761.837,        1761.837,        1761.837,1650.6,1650.6,1650.6,1699.5,1699.5,1699.5,1.1,-25.43,2.00,0.76,0.01,0.00,0.01,79.6,,KOI-2248,,,Cyg,G,0.84,0.75,5294.0,0.396413,,2.300,15.5,776.07,19.4827,48.5116,-34.9,26.8920,4,0,0.482,1.210,-2.28,-0.29,-1.23,0.28,0.00,0.98,0.00,0.29,0,0,0,0,tran,2012
