KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Gravity (EU),P. Esc Vel (EU),P. Period (days),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year,S. Name,S. Constellation
314.01,2.4517,688,42,110.852,0.0015,13.78105,0.00016,24.2,7.3,0.02918,0.00058,0.74,0.22,1.9,0.091,446,0.000023,2,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.36,1.47,13.78,0.177,0.476,-1.58,0.05,-0.31,0.38,0.78,0.29,0.47,0,0,0,0,tran,2011,KOI-314,Lyr
314.02,2.0157,514,21,103.9994,0.0028,23.0904,0.00034,73,680,0.023,0.039,0.7,2.5,1.6,0.128,376,0.000023,2,1,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.21,1.23,23.09,0.177,0.476,-1.33,-0.18,-0.43,0.41,0.88,0.5,0.64,0,0,0,0,tran,2011,KOI-314,Lyr
315.01,4.3681,902,68,121.9796,0.0017,35.5917,0.00045,41,30,0.0325,0.0049,0.81,0.59,4.8,0.211,526,0.000046,2,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.76,35.59,0.348,0.894,-1.58,0.54,-0.02,0.37,0.64,0.3,0.44,0,0,0,0,tran,2011,KOI-315,Cyg
316.01,5.0479,483,56,117.9011,0.002,15.77135,0.00022,18,26,0.0221,0.0056,0.7,1.1,2.8,0.126,750,0.000014,3,1_2,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.37,1.9,16,0.844,2.086,-2.15,1.03,-0.4,0.29,0.55,0.03,0.24,0,0,0,0,tran,2011,KOI-316,Lyr
317.01,7.2681,393,44,139.3631,0.003,22.20767,0.0006,18,33,0.0199,0.0058,0.6,1.2,3.7,0.166,918,0.000099,3,1,,Hot,Neptunian,gas,metals-rich,non-habitable,0.86,1.93,22.21,1.754,4.159,-2.31,3.07,-0.52,0.21,0.38,0.01,0.17,0,0,0,0,tran,2011,KOI-317,Cyg
318.01,10.3373,1185,44,107.8303,0.0025,38.58439,0.00038,29.99,0.45,0.03035,0.00048,0.03,0.036,4.4,0.235,671,0.000012,3,1,,Hot,Neptunian,gas,metals-rich,non-habitable,0.83,2.08,38.58,1.201,2.887,-2.13,3.85,-0.16,0.18,0.32,0.04,0.17,0,0,0,0,tran,2011,KOI-318,Cyg
319.01,5.3951,1653,137,109.6254,0.001,46.15115,0.00034,54,16,0.04055,0.00022,0.39,0.12,4.3,0.248,508,0.000017,2,1,,Hot,Jovian,gas,metals-rich,non-habitable,0.77,2.4,46.15,1.162,2.833,-2.07,5.79,0.14,0.14,0.24,0.06,0.14,0,0,0,0,tran,2011,KOI-319,Cyg
321.01,2.5947,160,39,103.4551,0.002,2.426307,0.000032,7.27,0.16,0.01226,0.00022,0.0016,-,0.9,0.035,1068,-,2,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.33,1.41,2.43,0.773,1.918,-2.29,-0.01,-0.99,0.29,0.8,0,0.28,0,0,0,0,tran,2011,KOI-321,Cyg
323.01,3.377,545,11,102.8509,0.0073,5.83674,0.00029,14.5,1.2,0.021,0.0014,0.03,0.085,2.9,0.065,1051,0.000013,2,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.77,5.84,0.615,1.528,-2.21,0.57,-0.6,0.3,0.63,0.01,0.25,0,0,0,0,tran,2011,KOI-323,Lyr
326.01,2.9995,820,26,104.0345,0.0031,8.97297,0.0002,19,80,0.029,0.023,0.6,1.9,0.9,0.05,332,0.000014,3,NoObs,,Hot,Jovian,gas,metals-rich,non-habitable,0.55,4.45,8.97,6.535,16.843,-2.25,31,0.08,0.03,0.05,0,0.03,0,0,0,0,tran,2011,KOI-326,Lyr
327.01,2.9306,135,30,105.6621,0.0025,3.254241,0.000056,8.974,0.082,0.01156,0.00024,0.0593,-,1.3,0.044,1304,0.000025,2,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.34,1.43,3.25,0.992,2.393,-2.35,0.01,-0.98,0.28,0.79,0,0.28,0,0,0,0,tran,2011,KOI-327,Lyr
330.01,5.2342,259,27,107.5328,0.0048,7.97398,0.00025,7,17,0.0174,0.0071,0.8,1.1,2.5,0.081,1021,0.000033,3,NoObs,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.85,7.97,1.01,2.453,-2.29,0.79,-0.63,0.29,0.59,0.01,0.24,0,0,0,0,tran,2011,KOI-330,Cyg
